ID,民族,地理_人口数量,地理_人口排名,地理_主要分布地区1,地理_地形结构1,地理_微生态区1,地理_气候带特征1,地理_主要分布地区2,地理_地形结构2,地理_微生态区2,地理_气候带特征2,地理_主要分布地区3,地理_地形结构3,地理_微生态区3,语言_语系1,语言_语系2,语言_语族1,语言_语族2,语言_语支1,语言_语支2,语言_单一书写系统,语言_支系1,语言_地区1,语言_语言1,语言_支系2,语言_地区2,语言_语言2,语言_支系3,语言_地区3,语言_语言3,语言_支系4,语言_地区4,语言_语言4,语言_支系5,语言_地区5,语言_语言5,饮食_地理区位1,饮食_地理区位2,饮食_地理区位3,饮食_主食1,饮食_主食2,饮食_主食3,饮食_肉类1,饮食_肉类2,饮食_肉类3,饮食_肉类4,饮食_蔬菜1,饮食_蔬菜2,饮食_蔬菜3,饮食_酒水1,饮食_酒水2,饮食_酒水3,饮食_风味类型,饮食_辣度指标(0-5),饮食_酸度指标(0-5),饮食_特色菜肴1,饮食_特色菜肴2,饮食_特色菜肴3,饮食_特色菜肴4,饮食_特色菜肴5,饮食_禁忌1,饮食_来源1,饮食_禁忌2,饮食_来源2,建筑_地区1,建筑_典型民居1,建筑_建筑结构1,建筑_结构功能1,建筑_主要建筑材质1,建筑_物质属性1,建筑_精神属性1,建筑_地区2,建筑_典型民居2,建筑_建筑结构2,建筑_结构功能2,建筑_主要建筑材质2,建筑_物质属性2,建筑_精神属性2,建筑_地区3,建筑_典型民居3,建筑_建筑结构3,建筑_结构功能3,建筑_主要建筑材质3,建筑_物质属性3,建筑_精神属性3,建筑_地区4,建筑_典型民居4,建筑_建筑结构4,建筑_结构功能4,建筑_主要建筑材质4,建筑_物质属性4,建筑_精神属性4,建筑_地区5,建筑_典型民居5,建筑_建筑结构5,建筑_结构功能5,建筑_主要建筑材质5,建筑_物质属性5,建筑_精神属性5,乐器_主要地区1.1,乐器_主要地区1.2,乐器_主要乐器1,乐器_乐器发声分类1,乐器_主要材质1.1,乐器_主要材质1.2,乐器_主要材质1.3,乐器_主要使用场景1,乐器_主要地区2.1,乐器_主要地区2.2,乐器_主要乐器2,乐器_乐器发声分类2,乐器_主要材质2.1,乐器_主要材质2.2,乐器_主要使用场景2,乐器_主要地区3.1,乐器_主要地区3.2,乐器_主要乐器3,乐器_乐器发声分类3,乐器_主要材质3.1,乐器_主要材质3.2,乐器_主要使用场景3,乐器_主要地区4.1,乐器_主要地区4.2,乐器_主要乐器4,乐器_乐器发声分类4,乐器_主要材质4.1,乐器_主要材质4.2,乐器_主要使用场景4,乐器_主要地区5.1,乐器_主要地区5.2,乐器_主要乐器5,乐器_乐器发声分类5,乐器_主要材质5.1,乐器_主要材质5.2,乐器_主要使用场景5,乐器_主要地区6.1,乐器_主要乐器6,乐器_乐器发声分类6,乐器_主要材质6.1,乐器_主要使用场景6,乐器_主要地区7.1,乐器_主要乐器7,乐器_乐器发声分类7,乐器_主要材质7.1,乐器_主要材质7.2,乐器_主要使用场景7
CN-HAN-01,汉族,1286311334,1,全国分布,平原,黄淮海平原,温带,,丘陵,长江中下游平原,亚热带,,盆地,四川盆地,汉藏语系,,汉语族,,,,汉字,北方汉人,北方地区,北方官话,吴越民系,江浙地区,吴语,广府民系,两广地区,粤语,客家民系,两广地区,客家话,闽海民系,福建地区,闽语,全国分布,,,稻米,小麦,杂粮,猪肉,鸡鸭,鱼类,,各类蔬菜全覆盖,,,白酒,黄酒,绿茶/红茶/乌龙茶,地域复合型,4,4,麻婆豆腐,葱烧海参,白切鸡,狮子头,剁椒鱼头,长幼尊卑餐桌动筷顺序,儒家礼教,无绝对食材禁忌,世俗礼仪,华北平原,四合院,砖木结构,防寒保暖,青砖,神龛,道教,黄土高原,窑洞,生土拱券结构,冬暖夏凉,黄土,炕神,道教,江南水乡,徽派,穿斗式木构,通风散热,木材,天井,道教,闽粤丘陵,客家土楼,生土厚墙结构,防御聚居,生土,祠堂,道教,岭南地区,镬耳屋,砖木结构,防风防火,青砖,神龛,道教,长江三角洲及太湖平原,,古琴,弹拨乐,木材,丝弦,,宫廷雅乐,长江三角洲及太湖平原,,琵琶,弹拨乐,木材,丝弦,民间节庆聚会,全国通用,,汉族传统二胡,拉弦乐,木材,,戏曲说唱伴奏,全国通用,,汉族江南竹笛,打击乐,木材,,婚丧嫁娶,中原地区,,编钟,打击乐,金属铜,,宫廷雅乐,全国通用,汉族大唢呐,弹拨乐,木材,宫廷雅乐,长江中下游,扬琴,拉弦乐,木材,丝弦,宫廷雅乐
CN-MGL-02,蒙古族,6290204,10,内蒙古自治区,内蒙古高原,呼伦贝尔草原,温带大陆性气候,新疆维吾尔自治区,戈壁,锡林郭勒草原,高寒气候,辽宁省,高山草甸,科尔沁沙地,阿尔泰语系,,蒙古语族,,,,传统蒙古文,察哈尔部,内蒙古中部,蒙古语察哈尔方言,卫拉特部,新疆地区,卫拉特方言,巴尔虎部,呼伦贝尔,巴尔虎方言,,,,,,,内蒙古自治区,新疆维吾尔自治区,辽宁省,炒米,馓子,馕,羊肉,牛肉,马肉,骆驼肉,野葱,沙葱,根茎类极少,马奶酒,咸奶茶,砖茶,原味/高脂型,0,0,手把肉,烤全羊,奶疙瘩,炒米,,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规,内蒙古草原,蒙古包,木骨架穹庐,防风雪易拆装,羊毛毡,火塘,藏传佛教,东北农区,海青房,土木结构,定居保暖,泥土,神龛,藏传佛教,,,,,,,,,,,,,,,,,,,,,,内蒙古草原,,马头琴,拉弦乐,木材,兽皮,马尾,民间节庆聚会,内蒙古草原,,冬不拉,弹拨乐,木材,丝弦,民间节庆聚会,内蒙古自治区,,库姆孜,弹拨乐,木材,丝弦,戏曲说唱伴奏,内蒙古草原,,托布秀尔,弹拨乐,木材,丝弦,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-HUI-03,回族,11377914,4,宁夏回族自治区,黄土高原,黄河上游干旱半干旱区,温带大陆性气候,甘肃省,河西走廊绿洲,六盘山区,温带季风气候,青海省,平原,,汉藏语系,,汉语族,,,,汉字,西北回民,西北地区,西北官话,中原回民,中原地区,中原官话,云南回民,云南地区,西南官话,,,,,,,宁夏回族自治区,甘肃省,青海省,小麦,大米,,羊肉,牛肉,鸡肉,,洋葱(皮牙子),胡萝卜,番茄,茯茶,砖茶,酸奶(多格),辛香/咸鲜型,2,0,抓饭,手抓羊肉,油香,馓子,粉汤,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规,西北干旱区,四合院,土木结构,封闭防沙,青砖,礼拜空间,伊斯兰教,宁夏山区,庄窠,夯土结构,防御聚居,夯土,礼拜空间,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,宁夏,,竹笛,管乐,竹材,木材,,民间节庆聚会,宁夏,,唢呐,管乐,金属铜,,婚丧嫁娶,宁夏,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,宁夏,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-ZAN-04,藏族,7060731,9,西藏自治区,青藏高原,雅鲁藏布江谷地,高原高寒气候,四川省,喜马拉雅山脉,三江源高寒草甸,垂直立体气候,青海省,横断山脉,川西高山峡谷,汉藏语系,,藏缅语族,,藏语支,,藏文,卫藏人,西藏拉萨,卫藏方言,康巴人,四川甘孜,康方言,安多人,青海地区,安多方言,,,,,,,西藏自治区,四川省,青海省,青稞,小麦,荞麦,牦牛肉,藏系绵羊肉,,,圆根,萝卜,极少绿叶菜,酥油茶,甜茶,青稞酒,辛香/咸鲜型,2,0,酥油茶,风干牦牛肉,糌粑,血肠,青稞酒,忌食马/驴/骡等奇蹄类及狗肉,藏传佛教/不杀生理念,部分水葬区忌食鱼蛙,地方水葬丧葬习俗,卫藏谷地,藏式碉房,石木平顶结构,御寒防震,花岗岩,经堂,藏传佛教,康巴林区,崩空,井干式木构,防震保暖,圆木,经堂,藏传佛教,羌塘草原,黑帐篷,牦牛毛编织,防风御寒,牦牛绒,火塘,藏传佛教,,,,,,,,,,,,,,,卫藏地区,,扎木聂,弹拨乐,木材,丝弦,,祭祀仪典,青藏高原,寺院,筒钦,管乐,金属铜,,民间节庆聚会,卫藏地区,,达玛如,打击乐,木材,兽皮,民间节庆聚会,青藏高原,寺院,冈洞,管乐,动物骨角,树皮,祭祀仪典,,,,,,,,,,,,,,,,,,
CN-WEW-05,维吾尔族,11774538,3,新疆维吾尔自治区,盆地边缘绿洲,塔里木盆地绿洲,温带极端干旱气候,,,吐鲁番盆地,,,,伊犁河谷,阿尔泰语系,,突厥语族,,葛逻禄语支,,老维吾尔文,中心维吾尔人,喀什地区,中心方言,和田维吾尔人,和田地区,和田方言,罗布人,罗布泊地区,罗布方言,,,,,,,新疆维吾尔自治区,,,小麦,大米,,羊肉,牛肉,鸡肉,,洋葱(皮牙子),胡萝卜,番茄,茯茶,砖茶,酸奶(多格),辛香/咸鲜型,2,0,抓饭,大盘鸡,烤肉串,馕,烤包子,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规,塔里木盆地,阿以旺,生土平顶结构,防沙采光,生土,内庭,伊斯兰教,喀什噶尔,高台民居,生土密集结构,防震散热,夯土,庭院,伊斯兰教,吐鲁番盆地,晾房,花砖生土结构,通风干燥,生土,火墙,伊斯兰教,,,,,,,,,,,,,,,南疆绿洲,喀什,热瓦普,弹拨乐,木材,丝弦,,民间节庆聚会,吐鲁番,哈密盆地,弹布尔,弹拨乐,木材,丝弦,民间节庆聚会,吐鲁番,哈密盆地,都塔尔,弹拨乐,木材,丝弦,民间节庆聚会,南疆绿洲,喀什,达卜,弹拨乐,木材,兽皮,民间节庆聚会,新疆绿洲,,鹰笛,弹拨乐,动物骨角,树皮,民间节庆聚会,,,,,,,,,,,
CN-MIA-06,苗族,11067929,5,贵州省,云贵高原,黔东南苗岭,亚热带季风气候,湖南省,武陵山区,武陵山区,,云南省,,湘西山地,汉藏语系,,苗瑶语族,,苗语支,,老苗文,红苗,湘西地区,湘西方言,黑苗,黔东南地区,黔东方言,白苗,川黔滇交界,川黔滇方言,,,,,,,贵州省,湖南省,云南省,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,五色糯米饭,腌鱼,鼓藏肉,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,武陵山区,吊脚楼,穿斗式木构架,防潮避虫,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西南山区,,踩堂芦笙,管乐,木材,,,民间节庆聚会,西南山区,,葫芦笙,管乐,竹材,木材,民间节庆聚会,西南山区,,口弦,打击乐,竹材,铜簧,青年传情达意,西南山区,,月琴,弹拨乐,木材,丝弦,祭祀仪典,黔东南,湘西山区,芒筒,管乐,金属铜,,民间节庆聚会,,,,,,,,,,,
CN-YI-07,彝族,9830327,7,云南省,横断山区,大小凉山,亚热带高原季风气候,四川省,大小凉山,乌蒙山区,,贵州省,,红河干热河谷,汉藏语系,,藏缅语族,,彝语支,,老彝文,诺苏人,四川凉山,北部方言,纳苏人,云南东北,东部方言,聂苏人,云南楚雄,中部方言,,,,,,,云南省,四川省,贵州省,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,坨坨肉,辣子鸡,杆杆酒,苦荞粑粑,冻肉,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,哀牢山区,土掌房,生土平顶结构,隔热防风,夯土,火塘,自然崇拜,大小凉山,瓦房,木构架,底层圈畜,木材,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,西南横断山区,,芦笙,管乐,竹材,木材,,民间节庆聚会,滇南,凉山,葫芦笙,管乐,竹材,木材,民间节庆聚会,西南横断山区,,彝族多簧口弦,管乐,木材,,青年传情达意,西南横断山区,,彝族月琴,拉弦乐,木材,,祭祀仪典,西南横断山区,,芒筒,管乐,金属铜,,民间节庆聚会,,,,,,,,,,,
CN-ZHU-08,壮族,19568546,2,广西壮族自治区,岭南丘陵,右江河谷,亚热带,云南省,喀斯特盆地,左江流域,热带季风气候,广东省,,红水河溶岩区,汉藏语系,,壮侗语族,,壮傣语支,,方块壮字,布壮,广西红水河以北,壮语北部方言,布土,广西红水河以南,壮语南部方言,,,,,,,,,,广西壮族自治区,云南省,广东省,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,五色糯米饭,宁明柠檬鸭,猪血肠,白切狗肉,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,右江流域,麻栏,干栏式木构,防潮散热,竹材,神龛,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,右江,红水河流域,铜鼓,打击乐,金属铜,,,祭祀仪典,岭南,黔南地区,葫芦丝,管乐,竹材,木材,祭祀仪典,岭南,黔南地区,象脚鼓,打击乐,竹材,木材,民间节庆聚会,岭南,黔南地区,木鼓,打击乐,竹材,木材,祭祀仪典,,,,,,,,,,,,,,,,,,
CN-BUY-09,布依族,3576752,11,贵州省,云贵高原东南部,黔南,亚热带季风气候,,丘陵,黔西南喀斯特河谷地带,,,,,汉藏语系,,壮侗语族,,壮傣语支,,布依文,布依本支,贵州黔南,第一土语,布依西支,贵州黔西南,第二土语,,,,,,,,,,贵州省,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,黔西南喀斯特,石板房,石构干栏,挡雨防风,石块,神龛,自然崇拜,黔南河谷,吊脚楼,木构干栏,防潮避兽,木材,神龛,自然崇拜,,,,,,,,,,,,,,,,,,,,,,右江,红水河流域,铜鼓,打击乐,金属铜,,,祭祀仪典,岭南,黔南地区,葫芦丝,管乐,竹材,木材,祭祀仪典,岭南,黔南地区,象脚鼓,打击乐,竹材,木材,民间节庆聚会,岭南,黔南地区,木鼓,打击乐,竹材,木材,祭祀仪典,,,,,,,,,,,,,,,,,,
CN-CXN-10,朝鲜族,1702479,16,吉林省,长白山麓,图们江流域,温带季风气候,黑龙江省,东北平原,鸭绿江流域,,辽宁省,,松花江流域,孤立语言(或归阿尔泰),,,,,,谚文,咸镜道移民,吉林延边,咸镜道方言,平安道移民,辽宁地区,平安道方言,,,,,,,,,,吉林省,黑龙江省,辽宁省,大米,,,牛肉,狗肉(传统),猪肉,海产品,大白菜,桔梗,蕨菜,清酒,浊酒(马格利),麦茶,酸辣复合型,3,3,冷面,打糕,辣白菜,大酱汤,狗肉汤,长幼尊卑餐桌动筷顺序,儒家礼教,无绝对食材禁忌,世俗礼仪,长白山区,八作房,木构架四坡顶,防寒保温,木材,火炕,儒教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,长白山,延边地区,竹笛,管乐,竹材,木材,,民间节庆聚会,长白山,延边地区,朝鲜族太平箫,弹拨乐,木材,,婚丧嫁娶,长白山,延边地区,三弦,弹拨乐,木材,丝弦,民间节庆聚会,长白山,延边地区,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
